file,k,recall,fall_out,precision,accuracy,f1_score
nursery.csv , 3 , 0.9536949209632803 , 0.9536949209632803 , 0.8922719096924231 , 0.8063271604938272 , 0.9219456935344493
nursery.csv , 5 , 0.8264875713663088 , 0.8264875713663088 , 0.8297485767099388 , 0.6902006172839507 , 0.7729720665431143
nursery.csv , 7 , 0.837618472670019 , 0.837618472670019 , 0.8744637047031549 , 0.760129659643436 , 0.8203811408692004
nursery.csv , 10 , 0.9589220248389886 , 0.9589220248389886 , 0.8807644709351787 , 0.8008487654320989 , 0.915631980169462
nursery.csv , 20 , 0.9970588235294118 , 0.9970588235294118 , 0.9660814451988127 , 0.9344907407407407 , 0.9812459389858205
nursery_shuffled.csv , 3 , 0.9968253968253968 , 0.9968253968253968 , 0.9759341760473688 , 0.9529320987654321 , 0.9862648194441057
nursery_shuffled.csv , 5 , 0.978560606060606 , 0.978560606060606 , 0.9781328276221227 , 0.9567515432098765 , 0.9782011969460285
nursery_shuffled.csv , 7 , 0.9938775510204082 , 0.9938775510204082 , 0.9780650294571457 , 0.9569730647526434 , 0.9858388272729639
nursery_shuffled.csv , 10 , 0.9928571428571429 , 0.9928571428571429 , 0.9785896923102516 , 0.9579475308641976 , 0.9855486447905779
nursery_shuffled.csv , 20 , 1.0 , 1.0 , 0.9793107983452009 , 0.9594907407407407 , 0.9895430907836594
