shuffled;test data proportion;recall;fall_out;precision;accuracy;f1_score
1;0.1;1.0;1.0;0.9905362776025236;0.98125;0.9952456418383517
1;0.2;1.0;1.0;0.9929078014184397;0.9859154929577465;0.9964412811387899
1;0.3;1.0;1.0;0.9877551020408163;0.9758064516129032;0.9938398357289528
1;0.4;1.0;1.0;0.9856459330143541;0.9716981132075472;0.9927710843373494
1;0.5;1.0;1.0;0.9943502824858758;0.9887640449438202;0.9971671388101983
1;0.6;1.0;1.0;0.9857142857142858;0.971830985915493;0.9928057553956835
1;0.7;1.0;1.0;0.9904761904761905;0.9811320754716981;0.9952153110047847
1;0.8;1.0;1.0;0.9855072463768116;0.9714285714285714;0.9927007299270074
1;0.9;1.0;1.0;0.9696969696969697;0.9411764705882353;0.9846153846153847
0;0.1;1.0;1.0;0.9937106918238994;0.9875;0.9968454258675079
0;0.2;1.0;1.0;0.9893238434163701;0.9788732394366197;0.9946332737030411
0;0.3;0.9545454545454546;0.9545454545454546;0.9066666666666666;0.8266129032258065;0.9299902311950504
0;0.4;0.9516129032258065;0.9516129032258065;0.5986394557823129;0.42924528301886794;0.7349423172199023
0;0.5;0.9365079365079365;0.9365079365079365;0.46846846846846846;0.3146067415730337;0.624529262086514
0;0.6;0.9516129032258065;0.9516129032258065;0.23376623376623376;0.14788732394366197;0.3753313306237851
0;0.7;0.0;0.0;0;0.5;0
0;0.8;0.0;0.0;0;0.5;0
0;0.9;0.0;0.0;0;0.5;0
