epsilon;gamma;beta;iterations
0.05;0.4;0.1;458
0.05;0.4;0.3;195
0.05;0.4;0.5;135
0.05;0.6;0.1;352
0.05;0.6;0.3;169
0.05;0.6;0.5;119
0.05;0.8;0.1;462
0.05;0.8;0.3;170
0.05;0.8;0.5;124
0.15;0.4;0.1;1092
0.15;0.4;0.3;444
0.15;0.4;0.5;254
0.15;0.6;0.1;798
0.15;0.6;0.3;342
0.15;0.6;0.5;243
0.15;0.8;0.1;684
0.15;0.8;0.3;385
0.15;0.8;0.5;195
0.3;0.4;0.1;2228
0.3;0.4;0.3;1344
0.3;0.4;0.5;1060
0.3;0.6;0.1;2112
0.3;0.6;0.3;1003
0.3;0.6;0.5;1789
0.3;0.8;0.1;2114
0.3;0.8;0.3;665
0.3;0.8;0.5;740
